"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"01.01.2016 00:00 - 01.01.2016 01:00","0","n/e","n/e","565","n/e","n/e","643","n/e","n/e"
"01.01.2016 01:00 - 01.01.2016 02:00","0","n/e","n/e","492","n/e","n/e","592","n/e","n/e"
"01.01.2016 02:00 - 01.01.2016 03:00","0","n/e","n/e","385","n/e","n/e","510","n/e","n/e"
"01.01.2016 03:00 - 01.01.2016 04:00","0","n/e","n/e","293","n/e","n/e","406","n/e","n/e"
"01.01.2016 04:00 - 01.01.2016 05:00","0","n/e","n/e","214","n/e","n/e","296","n/e","n/e"
"01.01.2016 05:00 - 01.01.2016 06:00","0","n/e","n/e","128","n/e","n/e","203","n/e","n/e"
"01.01.2016 06:00 - 01.01.2016 07:00","0","n/e","n/e","62","n/e","n/e","134","n/e","n/e"
"01.01.2016 07:00 - 01.01.2016 08:00","0","n/e","n/e","28","n/e","n/e","85","n/e","n/e"
"01.01.2016 08:00 - 01.01.2016 09:00","0","n/e","n/e","16","n/e","n/e","54","n/e","n/e"
"01.01.2016 09:00 - 01.01.2016 10:00","118","n/e","n/e","13","n/e","n/e","37","n/e","n/e"
"01.01.2016 10:00 - 01.01.2016 11:00","275","n/e","n/e","19","n/e","n/e","30","n/e","n/e"
"01.01.2016 11:00 - 01.01.2016 12:00","403","n/e","n/e","36","n/e","n/e","29","n/e","n/e"
"01.01.2016 12:00 - 01.01.2016 13:00","456","n/e","n/e","66","n/e","n/e","33","n/e","n/e"
"01.01.2016 13:00 - 01.01.2016 14:00","414","n/e","n/e","100","n/e","n/e","45","n/e","n/e"
"01.01.2016 14:00 - 01.01.2016 15:00","294","n/e","n/e","134","n/e","n/e","66","n/e","n/e"
"01.01.2016 15:00 - 01.01.2016 16:00","150","n/e","n/e","176","n/e","n/e","102","n/e","n/e"
"01.01.2016 16:00 - 01.01.2016 17:00","24","n/e","n/e","231","n/e","n/e","150","n/e","n/e"
"01.01.2016 17:00 - 01.01.2016 18:00","0","n/e","n/e","305","n/e","n/e","203","n/e","n/e"
"01.01.2016 18:00 - 01.01.2016 19:00","0","n/e","n/e","388","n/e","n/e","262","n/e","n/e"
"01.01.2016 19:00 - 01.01.2016 20:00","0","n/e","n/e","454","n/e","n/e","318","n/e","n/e"
"01.01.2016 20:00 - 01.01.2016 21:00","0","n/e","n/e","498","n/e","n/e","367","n/e","n/e"
"01.01.2016 21:00 - 01.01.2016 22:00","0","n/e","n/e","526","n/e","n/e","410","n/e","n/e"
"01.01.2016 22:00 - 01.01.2016 23:00","0","n/e","n/e","545","n/e","n/e","448","n/e","n/e"
"01.01.2016 23:00 - 02.01.2016 00:00","0","n/e","n/e","564","n/e","n/e","481","n/e","n/e"
"02.01.2016 00:00 - 02.01.2016 01:00","0","n/e","n/e","621","n/e","n/e","570","n/e","n/e"
"02.01.2016 01:00 - 02.01.2016 02:00","0","n/e","n/e","608","n/e","n/e","577","n/e","n/e"
"02.01.2016 02:00 - 02.01.2016 03:00","0","n/e","n/e","603","n/e","n/e","573","n/e","n/e"
"02.01.2016 03:00 - 02.01.2016 04:00","0","n/e","n/e","602","n/e","n/e","562","n/e","n/e"
"02.01.2016 04:00 - 02.01.2016 05:00","0","n/e","n/e","597","n/e","n/e","547","n/e","n/e"
"02.01.2016 05:00 - 02.01.2016 06:00","0","n/e","n/e","590","n/e","n/e","531","n/e","n/e"
"02.01.2016 06:00 - 02.01.2016 07:00","0","n/e","n/e","575","n/e","n/e","520","n/e","n/e"
"02.01.2016 07:00 - 02.01.2016 08:00","0","n/e","n/e","559","n/e","n/e","513","n/e","n/e"
"02.01.2016 08:00 - 02.01.2016 09:00","0","n/e","n/e","545","n/e","n/e","511","n/e","n/e"
"02.01.2016 09:00 - 02.01.2016 10:00","21","n/e","n/e","536","n/e","n/e","511","n/e","n/e"
"02.01.2016 10:00 - 02.01.2016 11:00","116","n/e","n/e","537","n/e","n/e","511","n/e","n/e"
"02.01.2016 11:00 - 02.01.2016 12:00","230","n/e","n/e","546","n/e","n/e","516","n/e","n/e"
"02.01.2016 12:00 - 02.01.2016 13:00","335","n/e","n/e","557","n/e","n/e","525","n/e","n/e"
